,book_id,keyword_name
0,68,Toy Story (1995)
1,73,Jumanji (1995)
2,144,Grumpier Old Men (1995)
3,2,Waiting to Exhale (1995)
4,465,Father of the Bride Part II (1995)
5,80,Heat (1995)
6,481,Sabrina (1995)
7,240,Tom and Huck (1995)
8,178,Sudden Death (1995)
9,3,GoldenEye (1995)
10,462,"American President, The (1995)"
11,39,Dracula: Dead and Loving It (1995)
12,362,Balto (1995)
13,179,Nixon (1995)
14,60,Cutthroat Island (1995)
15,284,Casino (1995)
16,72,Sense and Sensibility (1995)
17,352,Four Rooms (1995)
18,361,Ace Ventura: When Nature Calls (1995)
19,400,Money Train (1995)
20,377,Get Shorty (1995)
21,451,Copycat (1995)
22,415,Assassins (1995)
23,7,Powder (1995)
24,208,Leaving Las Vegas (1995)
25,126,Othello (1995)
26,277,Now and Then (1995)
27,226,Persuasion (1995)
28,250,"City of Lost Children, The (Cit챕 des enfants perdus, La) (1995)"
29,105,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
30,430,Dangerous Minds (1995)
31,248,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
33,104,Babe (1995)
34,344,Dead Man Walking (1995)
35,274,It Takes Two (1995)
36,1,Clueless (1995)
37,483,"Cry, the Beloved Country (1995)"
45,172,Richard III (1995)
47,463,Dead Presidents (1995)
48,138,Restoration (1995)
50,299,Mortal Kombat (1995)
54,327,To Die For (1995)
55,332,How to Make an American Quilt (1995)
61,95,Seven (a.k.a. Se7en) (1995)
62,296,Pocahontas (1995)
67,448,When Night Is Falling (1995)
68,35,"Usual Suspects, The (1995)"
69,388,Mighty Aphrodite (1995)
70,349,Lamerica (1994)
71,473,"Big Green, The (1995)"
72,64,Georgia (1995)
73,491,Home for the Holidays (1995)
74,475,"Postman, The (Postino, Il) (1994)"
75,363,"Indian in the Cupboard, The (1995)"
76,192,Eye for an Eye (1996)
77,180,Mr. Holland's Opus (1995)
78,99,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
79,343,Two if by Sea (1996)
80,108,Bio-Dome (1996)
81,291,Lawnmower Man 2: Beyond Cyberspace (1996)
82,42,French Twist (Gazon maudit) (1995)
83,253,Friday (1995)
84,54,From Dusk Till Dawn (1996)
85,228,Fair Game (1995)
87,373,Kicking and Screaming (1995)
88,67,"Mis챕rables, Les (1995)"
89,484,Bed of Roses (1996)
90,62,Big Bully (1996)
91,225,Screamers (1995)
93,176,Nico Icon (1995)
94,69,"Crossing Guard, The (1995)"
95,289,"Juror, The (1996)"
96,117,"White Balloon, The (Badkonake sefid) (1995)"
97,341,Things to Do in Denver When You're Dead (1995)
98,271,Antonia's Line (Antonia) (1995)
99,350,Once Upon a Time... When We Were Colored (1995)
100,198,Angels and Insects (1995)
102,389,White Squall (1996)
103,66,Dunston Checks In (1996)
104,181,Black Sheep (1996)
105,156,Nick of Time (1995)
106,207,Mary Reilly (1996)
107,43,Vampire in Brooklyn (1995)
108,375,Beautiful Girls (1996)
109,58,Broken Arrow (1996)
110,454,In the Bleak Midwinter (1995)
111,155,"Hate (Haine, La) (1995)"
112,428,Heidi Fleiss: Hollywood Madam (1995)
113,85,City Hall (1996)
114,174,Bottle Rocket (1996)
115,311,Mr. Wrong (1996)
116,255,Unforgettable (1996)
117,210,Happy Gilmore (1996)
118,445,"Bridges of Madison County, The (1995)"
120,173,Nobody Loves Me (Keiner liebt mich) (1994)
121,98,Muppet Treasure Island (1996)
122,92,Catwalk (1996)
123,340,Braveheart (1995)
124,57,Taxi Driver (1976)
125,461,Rumble in the Bronx (Hont faan kui) (1995)
126,293,Before and After (1996)
127,294,Anne Frank Remembered (1995)
128,310,"Young Poisoner's Handbook, The (1995)"
129,269,If Lucy Fell (1996)
130,348,"Steal Big, Steal Little (1995)"
131,51,"Boys of St. Vincent, The (1992)"
133,196,Boomerang (1992)
140,367,Chungking Express (Chung Hing sam lam) (1994)
142,233,Flirting With Disaster (1996)
144,44,"NeverEnding Story III, The (1994)"
146,498,Jupiter's Wife (1994)
148,260,Pie in the Sky (1996)
149,304,Jade (1995)
150,353,Down Periscope (1996)
151,183,Man of the Year (1995)
220,75,Up Close and Personal (1996)
221,231,"Birdcage, The (1996)"
222,399,"Brothers McMullen, The (1995)"
223,482,Bad Boys (1995)
225,237,"Amazing Panda Adventure, The (1995)"
226,459,"Basketball Diaries, The (1995)"
227,10,"Awfully Big Adventure, An (1995)"
228,29,Amateur (1994)
229,447,Apollo 13 (1995)
230,477,Rob Roy (1995)
231,13,"Addiction, The (1995)"
232,230,Batman Forever (1995)
233,12,Beauty of the Day (Belle de jour) (1967)
234,107,Beyond Rangoon (1995)
235,17,Blue in the Face (1995)
236,129,Canadian Bacon (1995)
237,195,Casper (1995)
238,24,Clockers (1995)
239,11,Congo (1995)
241,309,Crimson Tide (1995)
242,279,Crumb (1994)
243,9,Desperado (1995)
246,6,Devil in a Blue Dress (1995)
247,287,Die Hard: With a Vengeance (1995)
248,313,"Doom Generation, The (1995)"
249,256,First Knight (1995)
250,384,Free Willy 2: The Adventure Home (1995)
251,382,Hackers (1995)
252,114,Jeffrey (1995)
253,372,Johnny Mnemonic (1995)
254,381,Judge Dredd (1995)
255,171,Jury Duty (1995)
256,59,Kids (1995)
257,34,Living in Oblivion (1995)
262,396,Lord of Illusions (1995)
263,139,Love & Human Remains (1993)
264,134,Mad Love (1995)
266,20,Mallrats (1995)
267,368,Mighty Morphin Power Rangers: The Movie (1995)
268,136,Mute Witness (1994)
276,182,Nadja (1994)
277,404,"Net, The (1995)"
278,390,Nine Months (1995)
279,379,Party Girl (1995)
283,209,"Prophecy, The (1995)"
284,409,Reckless (1995)
285,125,Safe (1995)
286,128,"Scarlet Letter, The (1995)"
287,127,Showgirls (1995)
288,407,Smoke (1995)
289,154,Something to Talk About (1995)
291,432,Species (1995)
292,426,Strange Days (1995)
293,328,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
294,302,Three Wishes (1995)
296,466,Total Eclipse (1995)
297,423,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
299,106,Under Siege 2: Dark Territory (1995)
300,52,Unstrung Heroes (1995)
301,103,Unzipped (1995)
302,305,"Walk in the Clouds, A (1995)"
303,391,Waterworld (1995)
305,401,White Man's Burden (1995)
306,285,Wild Bill (1995)
308,378,"Browning Version, The (1994)"
310,316,Bushwhacked (1995)
314,486,Burnt by the Sun (Utomlyonnye solntsem) (1994)
318,297,Before the Rain (Pred dozhdot) (1994)
321,300,Before Sunrise (1995)
322,222,Billy Madison (1995)
323,165,"Babysitter, The (1995)"
324,221,Boys on the Side (1995)
326,490,"Cure, The (1995)"
330,229,Castle Freak (1995)
337,485,Circle of Friends (1995)
340,81,Clerks (1994)
341,449,Don Juan DeMarco (1995)
345,8,Disclosure (1994)
349,141,Drop Zone (1994)
351,101,Destiny Turns on the Radio (1995)
353,170,Death and the Maiden (1994)
354,147,Dolores Claiborne (1995)
356,453,Dumb & Dumber (Dumb and Dumber) (1994)
358,235,Eat Drink Man Woman (Yin shi nan nu) (1994)
359,31,Exotica (1994)
360,345,Exit to Eden (1994)
362,450,Ed Wood (1994)
363,337,French Kiss (1995)
364,458,Forget Paris (1995)
365,324,Far From Home: The Adventures of Yellow Dog (1995)
367,90,"Goofy Movie, A (1995)"
372,142,Hideaway (1995)
374,281,Fluke (1995)
375,374,Farinelli: il castrato (1994)
377,33,Gordy (1995)
379,70,Hoop Dreams (1994)
380,131,Heavenly Creatures (1994)
382,115,Houseguest (1994)
383,467,Immortal Beloved (1994)
384,489,Heavyweights (Heavy Weights) (1995)
385,272,"Hunted, The (1995)"
386,175,I.Q. (1994)
387,468,Interview with the Vampire: The Vampire Chronicles (1994)
388,162,Jefferson in Paris (1995)
389,470,"Jerky Boys, The (1995)"
395,22,Junior (1994)
432,159,Just Cause (1995)
433,278,"Kid in King Arthur's Court, A (1995)"
451,15,Kiss of Death (1995)
498,387,Star Wars: Episode IV - A New Hope (1977)
499,386,Little Women (1994)
500,347,"Little Princess, A (1995)"
501,351,Ladybird Ladybird (1994)
502,55,Like Water for Chocolate (Como agua para chocolate) (1992)
503,56,Legends of the Fall (1994)
516,145,Major Payne (1995)
517,254,My Crazy Life (Mi vida loca) (1993)
518,371,Love Affair (1994)
519,220,Losing Isaiah (1995)
520,239,"Madness of King George, The (1994)"
521,61,Mary Shelley's Frankenstein (Frankenstein) (1994)
522,218,Man of the House (1995)
523,100,Mixed Nuts (1994)
524,216,Milk Money (1994)
525,36,Miracle on 34th Street (1994)
530,194,Miami Rhapsody (1995)
548,83,My Family (1995)
549,199,Murder in the First (1995)
550,405,Nobody's Fool (1994)
552,414,Nell (1994)
553,186,New Jersey Drive (1995)
557,323,New York Cop (Ny청 Y척ku no koppu) (1993)
577,88,Beyond Bedlam (1993)
581,188,Nina Takes a Lover (1994)
583,148,Natural Born Killers (1994)
584,150,Only You (1994)
605,421,Once Were Warriors (1994)
606,167,Poison Ivy II (1996)
607,190,Outbreak (1995)
608,336,L챕on: The Professional (a.k.a. The Professional) (L챕on) (1994)
657,499,"Perez Family, The (1995)"
675,315,"Pyromaniac's Love Story, A (1995)"
679,266,Pulp Fiction (1994)
680,280,Pushing Hands (Tui shou) (1992)
681,71,Priest (1994)
958,214,Quiz Show (1994)
959,212,Picture Bride (Bijo photo) (1994)
962,283,"Queen Margot (Reine Margot, La) (1994)"
1012,40,"Quick and the Dead, The (1995)"
1013,63,Roommates (1995)
1020,268,Ready to Wear (Pret-A-Porter) (1994)
1021,89,Three Colors: Red (Trois couleurs: Rouge) (1994)
1022,497,Three Colors: Blue (Trois couleurs: Bleu) (1993)
1023,380,Three Colors: White (Trzy kolory: Bialy) (1994)
1024,77,Rent-a-Kid (1995)
1028,295,Relative Fear (1994)
1029,26,Stuart Saves His Family (1995)
1037,469,"Swan Princess, The (1994)"
1038,433,"Secret of Roan Inish, The (1994)"
1041,184,"Specialist, The (1994)"
1043,236,Stargate (1994)
1044,419,"Santa Clause, The (1994)"
1045,267,"Shawshank Redemption, The (1994)"
1047,418,Shallow Grave (1994)
1048,238,Suture (1993)
1049,113,Strawberry and Chocolate (Fresa y chocolate) (1993)
1050,91,Swimming with Sharks (1995)
1052,303,"Sum of Us, The (1994)"
1053,457,National Lampoon's Senior Trip (1995)
1054,434,To Live (Huozhe) (1994)
1055,494,Tank Girl (1995)
1056,160,Tales from the Crypt Presents: Demon Knight (1995)
1057,119,Star Trek: Generations (1994)
1058,116,Tales from the Hood (1995)
1059,329,Tom & Viv (1994)
1060,276,Village of the Damned (1995)
1061,149,Tommy Boy (1995)
1062,464,Vanya on 42nd Street (1994)
1063,223,Underneath (1995)
1066,354,"Walking Dead, The (1995)"
1067,420,What's Eating Gilbert Grape (1993)
1068,425,Virtuosity (1995)
1071,122,While You Were Sleeping (1995)
1072,193,"War, The (1994)"
1073,456,Double Happiness (1994)
1074,164,Muriel's Wedding (1994)
1076,112,"Baby-Sitters Club, The (1995)"
1077,480,Ace Ventura: Pet Detective (1994)
1078,440,"Adventures of Priscilla, Queen of the Desert, The (1994)"
1079,438,Backbeat (1993)
1080,442,Bitter Moon (1992)
1081,436,Bullets Over Broadway (1994)
1082,443,Clear and Present Danger (1994)
1083,444,"Client, The (1994)"
1084,439,"Corrina, Corrina (1994)"
1085,441,Crooklyn (1994)
1086,437,"Crow, The (1994)"
1087,152,Cobb (1994)
1089,424,"Flintstones, The (1994)"
1090,435,Forrest Gump (1994)
1091,187,Four Weddings and a Funeral (1994)
1096,53,Higher Learning (1995)
1098,110,I Like It Like That (1994)
1099,109,I Love Trouble (1994)
1102,264,It Could Happen to You (1994)
1104,189,"Jungle Book, The (1994)"
1106,395,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)"
1108,30,"Lion King, The (1994)"
1109,234,Little Buddha (1993)
1110,132,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
1111,74,"Mask, The (1994)"
1112,413,Maverick (1994)
1113,320,Mrs. Parker and the Vicious Circle (1994)
1114,133,Naked Gun 33 1/3: The Final Insult (1994)
1115,158,"Paper, The (1994)"
1116,252,Reality Bites (1994)
1117,365,Red Rock West (1992)
1118,257,Richie Rich (1994)
1119,397,"River Wild, The (1994)"
1123,201,Speed (1994)
1127,422,Speechless (1994)
1128,356,Timecop (1994)
1129,290,True Lies (1994)
1130,86,When a Man Loves a Woman (1994)
1201,394,Wolf (1994)
1215,476,Wyatt Earp (1994)
1216,335,Bad Company (1995)
1218,215,"Man of No Importance, A (1994)"
1219,342,S.F.W. (1994)
1221,376,"Low Down Dirty Shame, A (1994)"
1241,249,Boys Life (1995)
1242,319,"Colonel Chabert, Le (1994)"
1243,452,Faster Pussycat! Kill! Kill! (1965)
1244,87,Jason's Lyric (1994)
1249,431,Street Fighter (1994)
1254,330,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)
1276,364,Federal Hill (1994)
1313,333,In the Mouth of Madness (1995)
1429,200,8 Seconds (1994)
1431,65,Above the Rim (1994)
1434,185,Addams Family Values (1993)
1435,166,"Age of Innocence, The (1993)"
1439,417,Airheads (1994)
1446,97,"Air Up There, The (1994)"
1453,358,Another Stakeout (1993)
1462,241,Bad Girls (1994)
1463,27,Barcelona (1994)
1465,124,Being Human (1993)
1466,331,"Beverly Hillbillies, The (1993)"
1467,488,Beverly Hills Cop III (1994)
1477,84,Black Beauty (1994)
1681,408,Blink (1994)
1689,140,Blown Away (1994)
1692,392,Blue Chips (1994)
1778,496,Blue Sky (1994)
1782,472,Body Snatchers (1993)
1876,169,Boxing Helena (1993)
1877,306,"Bronx Tale, A (1993)"
1878,339,Cabin Boy (1994)
1880,41,Calendar Girl (1993)
1972,416,Carlito's Way (1993)
1974,78,City Slickers II: The Legend of Curly's Gold (1994)
1979,403,Clean Slate (1994)
2073,326,Cliffhanger (1993)
2153,346,Coneheads (1993)
2154,118,Color of Night (1994)
2155,123,Cops and Robbersons (1994)
2164,0,"Cowboy Way, The (1994)"
2166,96,Dave (1993)
2337,94,Dazed and Confused (1993)
2362,487,Demolition Man (1993)
2363,163,Even Cowgirls Get the Blues (1993)
2905,286,Fatal Instinct (1993)
3850,161,Farewell My Concubine (Ba wang bie ji) (1993)
4907,479,Fearless (1993)
5130,359,Fear of a Black Hat (1994)
5291,168,With Honors (1994)
5580,93,Flesh and Bone (1993)
5581,135,Widows' Peak (1994)
5870,369,For Love or Money (1993)
6091,360,"Firm, The (1993)"
6376,338,Free Willy (1993)
6377,325,Fresh (1994)
6379,137,"Fugitive, The (1993)"
6389,270,Geronimo: An American Legend (1993)
6401,49,"Getaway, The (1994)"
6489,460,Getting Even with Dad (1994)
6774,211,Go Fish (1994)
7309,292,Hard Target (1993)
8119,370,Hot Shots! Part Deux (1993)
8132,19,Live Nude Girls (1995)
8133,412,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
8137,455,"House of the Spirits, The (1993)"
8146,224,House Party 3 (1994)
8159,232,"Hudsucker Proxy, The (1994)"
8182,244,I'll Do Anything (1994)
8320,28,In the Army Now (1994)
8326,76,In the Line of Fire (1993)
8330,411,In the Name of the Father (1993)
8332,191,"Inkwell, The (1994)"
8333,410,What's Love Got to Do with It? (1993)
8334,355,Jimmy Hollywood (1994)
8355,202,Judgment Night (1993)
8363,5,Jurassic Park (1993)
8365,111,Kalifornia (1993)
8368,120,Killing Zoe (1994)
8372,32,Lassie (1994)
8376,102,Last Action Hero (1993)
8391,406,Life with Mikey (1993)
9135,318,Lightning Jack (1994)
9136,197,M. Butterfly (1993)
9137,219,Made in America (1993)
9141,38,Malice (1993)
9142,427,"Man Without a Face, The (1993)"
9886,246,Manhattan Murder Mystery (1993)
9887,245,Menace II Society (1993)
9888,247,Executive Decision (1996)
9929,16,In the Realm of the Senses (Ai no corrida) (1976)
10031,146,What Happened Was... (1994)
10034,312,Much Ado About Nothing (1993)
10163,25,Mr. Wonderful (1993)
10164,357,Mrs. Doubtfire (1993)
10165,203,Naked (1993)
10166,130,"Next Karate Kid, The (1994)"
10186,474,No Escape (1994)
10279,37,North (1994)
10317,217,Orlando (1992)
10319,366,"Perfect World, A (1993)"
10320,4,Philadelphia (1993)
10325,314,"Piano, The (1993)"
10326,265,Poetic Justice (1993)
10328,402,"Program, The (1993)"
10329,177,"Puppet Masters, The (1994)"
10331,213,Radioland Murders (1994)
10343,334,"Ref, The (1994)"
10346,275,"Remains of the Day, The (1993)"
10349,398,Renaissance Man (1994)
10350,493,Rising Sun (1993)
10351,288,"Road to Wellville, The (1994)"
10355,79,RoboCop 3 (1993)
10388,446,Robin Hood: Men in Tights (1993)
10440,21,Romeo Is Bleeding (1993)
10567,23,Romper Stomper (1992)
10570,492,Ruby in Paradise (1993)
10578,157,Rudy (1993)
10579,495,"Savage Nights (Nuits fauves, Les) (1992)"
10580,227,Schindler's List (1993)
10581,242,"Scout, The (1994)"
10600,321,Searching for Bobby Fischer (1993)
10605,385,"Secret Garden, The (1993)"
10614,282,Serial Mom (1994)
10676,322,"Shadow, The (1994)"
10715,393,Shadowlands (1993)
10725,258,Short Cuts (1993)
10727,259,"Simple Twist of Fate, A (1994)"
10747,153,Sirens (1994)
10748,471,Six Degrees of Separation (1993)
10776,383,Sleepless in Seattle (1993)
11209,298,Sliver (1993)
11246,317,Blade Runner (1982)
11272,151,Son in Law (1993)
11530,251,So I Married an Axe Murderer (1993)
11535,273,Striking Distance (1993)
11652,308,Super Mario Bros. (1993)
11653,82,Surviving the Game (1994)
11654,307,Terminal Velocity (1994)
11655,478,Thirty-Two Short Films About Glenn Gould (1993)
11658,143,Threesome (1994)
11695,429,"Nightmare Before Christmas, The (1993)"
11697,243,"Three Musketeers, The (1993)"
11699,14,Tombstone (1993)
11700,45,True Romance (1993)
11701,18,"War Room, The (1993)"
11702,121,"Pagemaster, The (1994)"
11703,301,Welcome to the Dollhouse (1995)
12682,261,Germinal (1993)
12683,50,Chasers (1994)
12684,46,Kika (1993)
12685,262,Bhaji on the Beach (1993)
12686,263,Little Big League (1994)
12687,204,"Ciao, Professore! (Io speriamo che me la cavo) (1992)"
12689,206,Spanking the Monkey (1994)
12692,47,"Little Rascals, The (1994)"
12694,48,Andre (1994)
12695,205,"Escort, The (Scorta, La) (1993)"
